"","condition","icnarcCode","surgicalCode","medicalCode","tailCode","duplicateCode","system","site","process","conditionTier","admission_freq"
"26","Acute cholecystitis, gangrenous gall bladder, or empyema of gall bladder","GA2","1.3.7.27.1","2.3.7.27.1","3.7.27.1",1,"Gastrointestinal",7,"Infection",1,402
"27","Exacerbation of chronic obstructive airways disease (COAD/COPD)","RE42","1.1.2.27.2","2.1.2.27.2","1.2.27.2",0,"Respiratory",2,"Infection",2,402
"28","Chronic obstructive airways disease (COAD/COPD)","RE21","1.1.2.30.6","2.1.2.30.6","1.2.30.6",0,"Respiratory",2,"Obstruction",6,396
"29","Lower limb artery stenosis or occlusion","CA76","1.2.10.30.2","2.2.10.30.2","2.10.30.2",0,"Cardiovascular",10,"Obstruction",2,389
"30","Self poisoning with tri- and tetracyclic antidepressants","EN79","1.6.8.34.3","2.6.8.34.3","6.8.34.3",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",3,385
"31","Viral pneumonia","RE75","1.1.4.27.3","2.1.4.27.3","1.4.27.3",0,"Respiratory",4,"Infection",3,379
"32","Oesophageal varices","GA93","","","",NA,"",NA,"",NA,377
"33","Carotid or vertebral artery stenosis or occlusion","CA22","1.2.9.30.1","2.2.9.30.1","2.9.30.1",1,"Cardiovascular",9,"Obstruction",1,371
"34","Self poisoning with sedatives or hypnotics","EN98","1.6.8.34.1","2.6.8.34.1","6.8.34.1",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",1,367
"35","Abdominal aortic aneurysm, leaking or expanding but not ruptured","CA142","","","",NA,"",NA,"",NA,362
"36","Aortic or iliac dissection or aneurysm","CA11","1.2.7.11.1","2.2.7.11.1","2.7.11.1",0,"Cardiovascular",7,"Dissection or aneurysm",1,360
"37","Pancreatic or pancreato-duodenal tumour","GA105","1.3.9.39.1","2.3.9.39.1","3.9.39.1",0,"Gastrointestinal",9,"Tumour or malignancy",1,347
"38","Subdural haematoma","NE58","1.1.10.15.3","2.1.10.15.3","1.10.15.3",4,"Respiratory",10,"Haemorrhage",3,347
"39","Supra-ventricular tachycardia, atrial fibrillation or flutter","CA102","1.2.5.32.1","2.2.5.32.1","2.5.32.1",0,"Cardiovascular",5,"Over-activity",1,340
"40","Left ventricular failure","CA73","1.2.2.13.1","2.2.2.13.1","2.2.13.1",0,"Cardiovascular",2,"Failure",1,335
"41","Thrombo-occlusive disease of brain","NE38","1.1.10.41.3","2.1.10.41.3","1.10.41.3",1,"Respiratory",10,"Vascular",3,333
"42","Gastric tumour","GA37","","","",NA,"",NA,"",NA,325
"43","Malignant neoplasm of oropharynx","GA164","","","",NA,"",NA,"",NA,279
"44","Secondary hepatic tumour","GA116","1.3.7.39.2","2.3.7.39.2","3.7.39.2",0,"Gastrointestinal",7,"Tumour or malignancy",2,270
"45","Traumatic subarachnoid haemorrhage","NE74","","","",NA,"",NA,"",NA,262
"46","Hernia not defined","GA99","1.3.10.8.5","2.3.10.8.5","3.10.8.5",0,"Gastrointestinal",10,"Congenital or acquired deformity or abnormality",5,260
"47","Hypovolaemic shock","CA52","1.2.12.35.1","2.2.12.35.1","2.12.35.1",1,"Cardiovascular",12,"Shock and hypotension",1,256
"48","Pyelonephritis or pyonephrosis","GE42","1.7.1.27.1","2.7.1.27.1","7.1.27.1",0,"Genito-urinary",1,"Infection",1,252
"49","Metabolic coma or encephalopathy","NE22","1.1.10.7.2","2.1.10.7.2","1.10.7.2",1,"Respiratory",10,"Coma or encephalopathy",2,249
"50","Fractured ribs","RE49","1.1.9.38.3","2.1.9.38.3","1.9.38.3",0,"Respiratory",9,"Trauma",3,224
"51","Toxic or drug-induced coma or encephalopathy","NE15","1.1.10.7.1","2.1.10.7.1","1.10.7.1",1,"Respiratory",10,"Coma or encephalopathy",1,221
"52","Malignant neoplasm of oesophageal-gastric junction","GA163","","","",NA,"",NA,"",NA,204
"53","Self poisoning with alcohol","EN99","1.6.8.34.10","2.6.8.34.10","6.8.34.10",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",10,200
"54","Liver transplant","GA78","1.3.7.37.1","2.3.7.37.1","3.7.37.1",0,"Gastrointestinal",7,"Transplant or related",1,196
"55","Appendicitis or appendix abscess","GA6","1.3.6.27.4","2.3.6.27.4","3.6.27.4",1,"Gastrointestinal",6,"Infection",4,188
"56","Small bowel tumour","GA123","1.3.5.30.5","2.3.5.30.5","3.5.30.5",1,"Gastrointestinal",5,"Obstruction",5,186
"57","Self poisoning with paracetamol","EN78","1.6.8.34.7","2.6.8.34.7","6.8.34.7",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",7,182
"58","Intra-oral or pharyngeal tumour","GA140","1.1.1.39.2","2.1.1.39.2","1.1.39.2",1,"Respiratory",1,"Tumour or malignancy",2,179
"59","Bi-ventricular failure","CA16","1.2.2.13.3","2.2.2.13.3","2.2.13.3",0,"Cardiovascular",2,"Failure",3,175
"60","Alcoholic cirrhosis","GA4","1.3.7.28.2","2.3.7.28.2","3.7.28.2",0,"Gastrointestinal",7,"Inflammation",2,164
"61","Acute renal failure due to toxic or drug causes","GE6","1.7.1.13.3","2.7.1.13.3","7.1.13.3",0,"Genito-urinary",1,"Failure",3,159
"62","Meningitis","NE23","1.1.10.27.1","2.1.10.27.1","1.10.27.1",1,"Respiratory",10,"Infection",1,155
"63","Primary lung tumour","RE99","1.1.4.39.1","2.1.4.39.1","1.4.39.1",0,"Respiratory",4,"Tumour or malignancy",1,155
"64","Encephalitis","NE47","1.1.10.27.2","2.1.10.27.2","1.10.27.2",1,"Respiratory",10,"Infection",2,155
"65","Intracranial injury  unspecified","NE68","","","",NA,"",NA,"",NA,153
"66","Infective cholangitis","GA49","1.3.7.27.3","2.3.7.27.3","3.7.27.3",0,"Gastrointestinal",7,"Infection",3,147
"67","Guillain-Barr_ syndrome","RE52","1.1.7.28.1","2.1.7.28.1","1.7.28.1",1,"Respiratory",7,"Inflammation",1,142
"68","Bacterial meningitis, not meningococcal","NE63","","","",NA,"",NA,"",NA,139
"69","Anaphylaxis","CA9","1.2.12.35.3","2.2.12.35.3","2.12.35.3",0,"Cardiovascular",12,"Shock and hypotension",3,138
"70","Cutaneous cellulitis","DE2","1.11.1.27.1","2.11.1.27.1","11.1.27.1",0,"Dermatological",1,"Infection",1,127
"71","CABG for acute crescendo or unstable angina","CA18","1.2.1.30.5","2.2.1.30.5","2.1.30.5",0,"Cardiovascular",1,"Obstruction",5,115
"72","Fungal or yeast pneumonia","RE50","1.1.4.27.2","2.1.4.27.2","1.4.27.2",0,"Respiratory",4,"Infection",2,114
"73","Mouth, mandible, pharynx, or facial bones trauma","NE50","1.1.1.38.1","2.1.1.38.1","1.1.38.1",2,"Respiratory",1,"Trauma",1,110
"74","Pulmonary fibrosis or fibrosing alveolitis","RE101","1.1.4.31.3","2.1.4.31.3","1.4.31.3",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",3,108
"75","Lactic acidosis","EN45","1.8.8.2.2","2.8.8.2.2","8.8.2.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Acidaemia",2,104
"76","Traumatic haemothorax or haemopneumothorax","RE56","1.1.4.6.3","2.1.4.6.3","1.4.6.3",2,"Respiratory",4,"Collapse",3,100
"77","Hanging or strangulation","RE53","1.1.1.30.6","2.1.1.30.6","1.1.30.6",0,"Respiratory",1,"Obstruction",6,95
"78","Traumatic rupture or laceration of spleen","GA149","1.3.8.38.1","2.3.8.38.1","3.8.38.1",0,"Gastrointestinal",8,"Trauma",1,87
"79","Flail chest","RE13","1.1.9.38.1","2.1.9.38.1","1.9.38.1",0,"Respiratory",9,"Trauma",1,83
"80","Myasthenia gravis","NE27","1.1.8.28.1","2.1.8.28.1","1.8.28.1",3,"Respiratory",8,"Inflammation",1,81
"81","Burns caused by dry heat","DE17","1.5.7.1.2","2.5.7.1.2","5.7.1.2",1,"Dermatological",1,"Trauma",2,75
"82","Accidental hypothermia","EN1","1.8.7.26.1","2.8.7.26.1","8.7.26.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",7,"Hypothermia",1,73
"83","Leaking large bowel anastomosis","GA141","1.3.6.38.4","2.3.6.38.4","3.6.38.4",0,"Gastrointestinal",6,"Trauma",4,70
"84","Acute alcoholic hepatitis","EN3","1.3.7.28.3","2.3.7.28.3","3.7.28.3",1,"Gastrointestinal",7,"Inflammation",3,69
"85","Acute crescendo or unstable angina","CA7","1.2.1.30.2","2.2.1.30.2","2.1.30.2",0,"Cardiovascular",1,"Obstruction",2,67
"86","Focal brain injury","NE66","","","",NA,"",NA,"",NA,66
"87","Meningococcal meningitis","NE69","","","",NA,"",NA,"",NA,58
"88","Bleeding gastric varices","GA15","","","",NA,"",NA,"",NA,56
"89","Tuberculosis","RE110","1.1.4.27.6","2.1.4.27.6","1.4.27.6",1,"Respiratory",4,"Infection",6,51
"90","Non-traumatic dissection of thoracic aorta","CA85","1.2.6.11.2","2.2.6.11.2","2.6.11.2",0,"Cardiovascular",6,"Dissection or aneurysm",2,45
"91","Oesophagitis or oesophageal ulcers","GA94","","","",NA,"",NA,"",NA,44
"92","Acute myeloblastic leukaemia","HA2","1.9.2.39.2","2.9.2.39.2","9.2.39.2",0,"Haematological/Immunological",2,"Tumour or malignancy",2,40
"93","Failure of reversal of non-depolarising neuromuscular blockers","NE17","1.1.7.8.2","2.1.7.8.2","1.7.8.2",2,"Respiratory",7,"Congenital or acquired deformity or abnormality",2,39
"94","Aneurysm of illiac artery with or without rupture","CA145","","","",NA,"",NA,"",NA,36
"95","Non-Hodgkin's lymphoma","HA25","1.9.2.39.6","2.9.2.39.6","9.2.39.6",0,"Haematological/Immunological",2,"Tumour or malignancy",6,35
"96","Post-anaesthetic encephalopathy aetiology uncertain","NE53","1.1.10.7.5","2.1.10.7.5","1.10.7.5",1,"Respiratory",10,"Coma or encephalopathy",5,34
"97","Epidural injection or infusion","NE12","1.1.6.12.1","2.1.6.12.1","1.6.12.1",1,"Respiratory",6,"Epidural or spinal drug administration",1,31
"98","Malignant neoplasm of hypopharynx","GA161","","","",NA,"",NA,"",NA,30
"99","Infected aortic or iliac prosthesis","CA55","1.2.7.27.1","2.2.7.27.1","2.7.27.1",0,"Cardiovascular",7,"Infection",1,26
"100","Visceral infarction due to primary vascular disease","CA128","1.2.8.30.10","2.2.8.30.10","2.8.30.10",1,"Cardiovascular",8,"Obstruction",10,26
"101","Large bowel adhesions","GA65","1.3.6.30.3","2.3.6.30.3","3.6.30.3",0,"Gastrointestinal",6,"Obstruction",3,26
"102","Thoracic aortic aneurysm, not ruptured","CA151","","","",NA,"",NA,"",NA,21
"103","Parasitic pneumonia","RE86","1.1.4.27.4","2.1.4.27.4","1.4.27.4",0,"Respiratory",4,"Infection",4,13
"104","Congenital muscular dystrophy","MU28","1.1.9.8.4","2.1.9.8.4","1.9.8.4",1,"Respiratory",9,"Congenital or acquired deformity or abnormality",4,13
"105","Malignant neoplasm of nasopharynx","GA162","","","",NA,"",NA,"",NA,11
"106","Thoracoabdominal aortic aneurysm, not ruptured","CA153","","","",NA,"",NA,"",NA,9
"107","Viral meningitis","NE77","","","",NA,"",NA,"",NA,8
"108","Thoracic or thoraco-abdominal aortic aneurysm","CA105","1.2.6.11.3","2.2.6.11.3","2.6.11.3",0,"Cardiovascular",6,"Dissection or aneurysm",3,6
"109","Thoracic aortic aneurysm, ruptured","CA152","","","",NA,"",NA,"",NA,6
"110","Thoracoabdominal aortic aneurysm, ruptured","CA154","","","",NA,"",NA,"",NA,4
"111","Benign prostatic hyperplasia","GE13","1.7.5.39.2","2.7.5.39.2","7.5.39.2",0,"Genito-urinary",5,"Tumour or malignancy",2,NA
"112","Non-accidental injury to pelvis, long bones or joints","MU10","1.5.6.2.4","2.5.6.2.4","5.6.2.4",1,"Musculoskeletal",2,"Trauma",4,NA
"113","Necrotising enterocolitis","GA83","1.3.5.27.2","2.3.5.27.2","3.5.27.2",1,"Gastrointestinal",5,"Infection",2,NA
"114","Polymyositis","MU14","1.10.3.28.1","2.10.3.28.1","10.3.28.1",0,"Musculoskeletal",3,"Inflammation",1,NA
"115","Reye's or Reye-like syndrome","NE55","1.3.7.28.7","2.3.7.28.7","3.7.28.7",1,"Gastrointestinal",7,"Inflammation",7,NA
"116","Small bowel volvulus","GA124","1.3.5.30.2","2.3.5.30.2","3.5.30.2",0,"Gastrointestinal",5,"Obstruction",2,NA
"117","Pertussis","RE90","1.1.1.27.6","2.1.1.27.6","1.1.27.6",0,"Respiratory",1,"Infection",6,NA
"118","Traumatic rupture or puncture of lower limb artery","CA117","1.2.10.38.2","2.2.10.38.2","2.10.38.2",0,"Cardiovascular",10,"Trauma",2,NA
"119","Traumatic damage to splanchnic vessels","GA145","1.2.8.38.2","2.2.8.38.2","2.8.38.2",0,"Cardiovascular",8,"Trauma",2,NA
"120","Amnionitis","GE9","1.7.4.27.1","2.7.4.27.1","7.4.27.1",0,"Genito-urinary",4,"Infection",1,NA
"121","Tracheal tumour","RE113","1.1.1.39.3","2.1.1.39.3","1.1.39.3",0,"Respiratory",1,"Tumour or malignancy",3,NA
"122","Trauma to mitral valve","CA110","1.2.4.38.2","2.2.4.38.2","2.4.38.2",0,"Cardiovascular",4,"Trauma",2,NA
"123","Accidental poisoning with insulin","EN42","1.6.8.1.9","2.6.8.1.9","6.8.1.9",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",9,NA
"124","Non-accidental injury to male genitalia","GE34","1.5.5.5.3","2.5.5.5.3","5.5.5.3",1,"Genito-urinary",5,"Trauma",3,NA
"125","Idiopathic pulmonary hypertension","CA53","1.1.3.19.1","2.1.3.19.1","1.3.19.1",1,"Respiratory",3,"Hypertension",1,NA
"126","Intra-peritoneal abscess (not pelvic)","GA63","1.3.10.27.2","2.3.10.27.2","3.10.27.2",0,"Gastrointestinal",10,"Infection",2,NA
"127","Brainstem death","NE5","1.1.10.7.6","2.1.10.7.6","1.10.7.6",1,"Respiratory",10,"Coma or encephalopathy",6,NA
"128","Arterial air embolus","NE41","1.4.2.41.4","2.4.2.41.4","4.2.41.4",0,"Neurological (including eyes)",2,"Vascular",4,NA
"129","Myocardial or septal abscess","CA5","1.2.2.27.2","2.2.2.27.2","2.2.27.2",0,"Cardiovascular",2,"Infection",2,NA
"130","Pancreatic fistula","GA104","1.3.9.38.3","2.3.9.38.3","3.9.38.3",0,"Gastrointestinal",9,"Trauma",3,NA
"131","Traumatic pancreatitis or pancreatic damage","GA132","1.3.9.38.1","2.3.9.38.1","3.9.38.1",1,"Gastrointestinal",9,"Trauma",1,NA
"132","Intrauterine death","GE28","1.7.4.28.1","2.7.4.28.1","7.4.28.1",0,"Genito-urinary",4,"Inflammation",1,NA
"133","Laryngeal tumour","RE63","1.1.1.39.4","2.1.1.39.4","1.1.39.4",0,"Respiratory",1,"Tumour or malignancy",4,NA
"134","Infective colitis or proctocolitis","GA50","1.3.6.27.1","2.3.6.27.1","3.6.27.1",0,"Gastrointestinal",6,"Infection",1,NA
"135","Splanchnic artery aneurysm or dissection not defined","CA88","1.2.8.11.3","2.2.8.11.3","2.8.11.3",0,"Cardiovascular",8,"Dissection or aneurysm",3,NA
"136","Envenomation other than snake","EN52","1.8.8.44.2","2.8.8.44.2","8.8.44.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Envenomation",2,NA
"137","Marfan's syndrome","CA80","1.2.6.8.2","2.2.6.8.2","2.6.8.2",0,"Cardiovascular",6,"Congenital or acquired deformity or abnormality",2,NA
"138","Malignant prostatic tumour","GE30","1.7.5.39.3","2.7.5.39.3","7.5.39.3",0,"Genito-urinary",5,"Tumour or malignancy",3,NA
"139","Haemopericardium from ischaemic myocardial perforation","CA43","1.2.3.15.2","2.2.3.15.2","2.3.15.2",0,"Cardiovascular",3,"Haemorrhage",2,NA
"140","Primary tumour of cord or meninges","NE30","1.4.3.39.1","2.4.3.39.1","4.3.39.1",0,"Neurological (including eyes)",3,"Tumour or malignancy",1,NA
"141","Crohn's disease of small bowel","GA23","1.3.5.28.1","2.3.5.28.1","3.5.28.1",0,"Gastrointestinal",5,"Inflammation",1,NA
"142","Traumatic damage to testes,  prostrate or penis","GE52","1.5.5.5.1","2.5.5.5.1","5.5.5.1",1,"Genito-urinary",5,"Trauma",1,NA
"143","Parkinson's Disease","RE87","1.1.10.8.5","2.1.10.8.5","1.10.8.5",1,"Respiratory",10,"Congenital or acquired deformity or abnormality",5,NA
"144","Traumatic damage to coronary arteries","CA136","1.2.1.38.1","2.2.1.38.1","2.1.38.1",0,"Cardiovascular",1,"Trauma",1,NA
"145","Mononucleosis","HA22","1.9.1.27.6","2.9.1.27.6","9.1.27.6",0,"Haematological/Immunological",1,"Infection",6,NA
"146","Polycystic kidneys","GE39","1.7.1.8.1","2.7.1.8.1","7.1.8.1",0,"Genito-urinary",1,"Congenital or acquired deformity or abnormality",1,NA
"147","Constrictive pericarditis","CA32","1.2.3.8.1","2.2.3.8.1","2.3.8.1",0,"Cardiovascular",3,"Congenital or acquired deformity or abnormality",1,NA
"148","Prolactinoma","EN63","1.8.2.32.3","2.8.2.32.3","8.2.32.3",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",2,"Over-activity",3,NA
"149","Trisomy 18 (Edward's syndrome)","EN81","1.8.11.53.1","2.8.11.53.1","8.11.53.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",11,"Trisomy",1,NA
"150","Glomerulonephritis","GE20","1.7.1.28.1","2.7.1.28.1","7.1.28.1",0,"Genito-urinary",1,"Inflammation",1,NA
"151","Bladder tumour","GE15","1.7.2.39.1","2.7.2.39.1","7.2.39.1",0,"Genito-urinary",2,"Tumour or malignancy",1,NA
"152","Non-traumatic haemothorax","RE79","1.1.4.6.2","2.1.4.6.2","1.4.6.2",1,"Respiratory",4,"Collapse",2,NA
"153","Self poisoning with cardiovascular drugs","EN94","1.6.8.34.5","2.6.8.34.5","6.8.34.5",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",5,NA
"154","Leishmaniasis","HA20","1.9.1.27.1","2.9.1.27.1","9.1.27.1",0,"Haematological/Immunological",1,"Infection",1,NA
"155","Heart block","CA46","1.2.5.40.1","2.2.5.40.1","2.5.40.1",0,"Cardiovascular",5,"Under-activity",1,NA
"156","Chylothorax","RE22","1.1.5.38.4","2.1.5.38.4","1.5.38.4",0,"Respiratory",5,"Trauma",4,NA
"157","Crush injury","MU29","1.5.6.3.1","2.5.6.3.1","5.6.3.1",1,"Musculoskeletal",3,"Trauma",1,NA
"158","Upper limb embolus","CA122","1.2.10.30.3","2.2.10.30.3","2.10.30.3",0,"Cardiovascular",10,"Obstruction",3,NA
"159","Small bowel adhesions","GA118","1.3.5.30.3","2.3.5.30.3","3.5.30.3",0,"Gastrointestinal",5,"Obstruction",3,NA
"160","Accidental poisoning with aspirin","EN11","1.6.8.1.6","2.6.8.1.6","6.8.1.6",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Accidental intoxication or poisoning",6,NA
"161","Ischaemic colitis","GA64","1.3.6.28.6","2.3.6.28.6","3.6.28.6",1,"Gastrointestinal",6,"Inflammation",6,NA
"162","Hypoglycaemia due to insulin therapy","EN33","1.8.4.10.3","2.8.4.10.3","8.4.10.3",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",4,"Diabetes mellitus",3,NA
"163","Uterine tumour","GE58","1.7.3.39.2","2.7.3.39.2","7.3.39.2",0,"Genito-urinary",3,"Tumour or malignancy",2,NA
"164","Infected thrombophlebitis of the great veins","CA60","1.2.11.27.1","2.2.11.27.1","2.11.27.1",0,"Cardiovascular",11,"Infection",1,NA
"165","Cardiac transplant rejection","CA108","1.2.2.37.2","2.2.2.37.2","2.2.37.2",0,"Cardiovascular",2,"Transplant or related",2,NA
"166","Chronic cirrhosis cause not defined","GA96","1.3.7.28.5","2.3.7.28.5","3.7.28.5",0,"Gastrointestinal",7,"Inflammation",5,NA
"167","Malaria","HA21","1.9.1.27.2","2.9.1.27.2","9.1.27.2",0,"Haematological/Immunological",1,"Infection",2,NA
"168","Self poisoning with industrial or agricultural chemicals","EN65","1.6.8.34.8","2.6.8.34.8","6.8.34.8",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",8,NA
"169","Myxoma","CA84","1.2.2.39.1","2.2.2.39.1","2.2.39.1",1,"Cardiovascular",2,"Tumour or malignancy",1,NA
"170","Bronchopulmonary dysplasia","RE18","1.1.2.8.2","2.1.2.8.2","1.2.8.2",0,"Respiratory",2,"Congenital or acquired deformity or abnormality",2,NA
"171","Chronic spinal cord injury","NE42","1.1.6.9.2","2.1.6.9.2","1.6.9.2",3,"Respiratory",6,"Degeneration",2,NA
"172","Non-accidental injury to muscles or connective tissue","MU9","1.5.6.3.5","2.5.6.3.5","5.6.3.5",1,"Musculoskeletal",3,"Trauma",5,NA
"173","Airway compression by extrinsic abscess","RE4","1.1.1.27.5","2.1.1.27.5","1.1.27.5",0,"Respiratory",1,"Infection",5,NA
"174","Inhalation pneumonitis (gastrointestinal contents)","RE58","1.1.4.31.5","2.1.4.31.5","1.4.31.5",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",5,NA
"175","Self poisoning with narcotics","EN96","1.6.8.34.2","2.6.8.34.2","6.8.34.2",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Self intoxication or self poisoning",2,NA
"176","Congenital chest wall deformity","RE24","1.1.9.8.3","2.1.9.8.3","1.9.8.3",0,"Respiratory",9,"Congenital or acquired deformity or abnormality",3,NA
"177","Myocarditis","CA83","1.2.2.27.3","2.2.2.27.3","2.2.27.3",1,"Cardiovascular",2,"Infection",3,NA
"178","Exomphalos","GA31","1.3.10.8.1","2.3.10.8.1","3.10.8.1",0,"Gastrointestinal",10,"Congenital or acquired deformity or abnormality",1,NA
"179","Auto-immune hypoparathyroidism","EN12","1.8.5.8.2","2.8.5.8.2","8.5.8.2",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",5,"Congenital or acquired deformity or abnormality",2,NA
"180","Traumatic rupture or perforation of bronchus","RE62","1.1.2.38.1","2.1.2.38.1","1.2.38.1",0,"Respiratory",2,"Trauma",1,NA
"181","Lymphoma","GA80","1.3.8.39.2","2.3.8.39.2","3.8.39.2",0,"Gastrointestinal",8,"Tumour or malignancy",2,NA
"182","Retroperitoneal haemorrhage","GE48","1.3.10.15.1","2.3.10.15.1","3.10.15.1",2,"Gastrointestinal",10,"Haemorrhage",1,NA
"183","Post-tonsillectomy bleeding","RE98","1.1.1.15.1","2.1.1.15.1","1.1.15.1",0,"Respiratory",1,"Haemorrhage",1,NA
"184","Large bowel inflammatory masses","GA72","1.3.6.30.6","2.3.6.30.6","3.6.30.6",0,"Gastrointestinal",6,"Obstruction",6,NA
"185","Acute pancreatitis","GA3","1.3.9.28.1","2.3.9.28.1","3.9.28.1",0,"Gastrointestinal",9,"Inflammation",1,NA
"186","Cervical cord injury","NE9","1.1.6.38.1","2.1.6.38.1","1.6.38.1",2,"Respiratory",6,"Trauma",1,NA
"187","Delerium tremens","EN17","1.8.8.3.3","2.8.8.3.3","8.8.3.3",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",8,"Alcohol related disorders",3,NA
"188","Thyroid tumour","EN70","1.8.1.39.1","2.8.1.39.1","8.1.39.1",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",1,"Tumour or malignancy",1,NA
"189","Emphysema","RE35","1.1.4.31.4","2.1.4.31.4","1.4.31.4",0,"Respiratory",4,"Oedema, inflammation, fibrosis or inhalation",4,NA
"190","Thrombotic thrombocytopaenic purpura","HA33","1.9.1.14.10","2.9.1.14.10","9.1.14.10",0,"Haematological/Immunological",1,"Haemolysis or thrombocytopaenia",10,NA
"191","Induced or post-operative hypothermia","EN41","1.8.7.26.2","2.8.7.26.2","8.7.26.2",0,"Endocrine, Metabolic, Thermoregulation and Poisoning",7,"Hypothermia",2,NA
"192","Post-surgical hypoparathyroidism","EN62","1.8.5.8.3","2.8.5.8.3","8.5.8.3",1,"Endocrine, Metabolic, Thermoregulation and Poisoning",5,"Congenital or acquired deformity or abnormality",3,NA
